node_id,node_type,neo4j_label,label,event_id,event_name,evidence_id,source,domain,url,publish_time,quality_score,text,attributes_json
domain:gzzs.gov.cn,domain,Domain,gzzs.gov.cn,,,,,gzzs.gov.cn,,,,,"{""domain"": ""gzzs.gov.cn"", ""label"": ""gzzs.gov.cn""}"
domain:ww.gov.cn,domain,Domain,ww.gov.cn,,,,,ww.gov.cn,,,,,"{""domain"": ""ww.gov.cn"", ""label"": ""ww.gov.cn""}"
domain:jiangshan.gov.cn,domain,Domain,jiangshan.gov.cn,,,,,jiangshan.gov.cn,,,,,"{""domain"": ""jiangshan.gov.cn"", ""label"": ""jiangshan.gov.cn""}"
domain:gz.gov.cn,domain,Domain,gz.gov.cn,,,,,gz.gov.cn,,,,,"{""domain"": ""gz.gov.cn"", ""label"": ""gz.gov.cn""}"
domain:jinshishi.gov.cn,domain,Domain,jinshishi.gov.cn,,,,,jinshishi.gov.cn,,,,,"{""domain"": ""jinshishi.gov.cn"", ""label"": ""jinshishi.gov.cn""}"
domain:xinshao.gov.cn,domain,Domain,xinshao.gov.cn,,,,,xinshao.gov.cn,,,,,"{""domain"": ""xinshao.gov.cn"", ""label"": ""xinshao.gov.cn""}"
domain:yishui.gov.cn,domain,Domain,yishui.gov.cn,,,,,yishui.gov.cn,,,,,"{""domain"": ""yishui.gov.cn"", ""label"": ""yishui.gov.cn""}"
domain:laiyang.gov.cn,domain,Domain,laiyang.gov.cn,,,,,laiyang.gov.cn,,,,,"{""domain"": ""laiyang.gov.cn"", ""label"": ""laiyang.gov.cn""}"
domain:nantong.gov.cn,domain,Domain,nantong.gov.cn,,,,,nantong.gov.cn,,,,,"{""domain"": ""nantong.gov.cn"", ""label"": ""nantong.gov.cn""}"
domain:liuyan.people.com.cn,domain,Domain,liuyan.people.com.cn,,,,,liuyan.people.com.cn,,,,,"{""domain"": ""liuyan.people.com.cn"", ""label"": ""liuyan.people.com.cn""}"
domain:ytfushan.gov.cn,domain,Domain,ytfushan.gov.cn,,,,,ytfushan.gov.cn,,,,,"{""domain"": ""ytfushan.gov.cn"", ""label"": ""ytfushan.gov.cn""}"
domain:ctdsbepaper.hubeidaily.net,domain,Domain,ctdsbepaper.hubeidaily.net,,,,,ctdsbepaper.hubeidaily.net,,,,,"{""domain"": ""ctdsbepaper.hubeidaily.net"", ""label"": ""ctdsbepaper.hubeidaily.net""}"
domain:sz.oeeee.com,domain,Domain,sz.oeeee.com,,,,,sz.oeeee.com,,,,,"{""domain"": ""sz.oeeee.com"", ""label"": ""sz.oeeee.com""}"
domain:sdxw.iqilu.com,domain,Domain,sdxw.iqilu.com,,,,,sdxw.iqilu.com,,,,,"{""domain"": ""sdxw.iqilu.com"", ""label"": ""sdxw.iqilu.com""}"
domain:163.com,domain,Domain,163.com,,,,,163.com,,,,,"{""domain"": ""163.com"", ""label"": ""163.com""}"
domain:c.m.163.com,domain,Domain,c.m.163.com,,,,,c.m.163.com,,,,,"{""domain"": ""c.m.163.com"", ""label"": ""c.m.163.com""}"
domain:36kr.com,domain,Domain,36kr.com,,,,,36kr.com,,,,,"{""domain"": ""36kr.com"", ""label"": ""36kr.com""}"
domain:m.zaiminglaw.com,domain,Domain,m.zaiminglaw.com,,,,,m.zaiminglaw.com,,,,,"{""domain"": ""m.zaiminglaw.com"", ""label"": ""m.zaiminglaw.com""}"
domain:mip.64365.com,domain,Domain,mip.64365.com,,,,,mip.64365.com,,,,,"{""domain"": ""mip.64365.com"", ""label"": ""mip.64365.com""}"
domain:flkpz.com,domain,Domain,flkpz.com,,,,,flkpz.com,,,,,"{""domain"": ""flkpz.com"", ""label"": ""flkpz.com""}"
domain:yk.gov.cn,domain,Domain,yk.gov.cn,,,,,yk.gov.cn,,,,,"{""domain"": ""yk.gov.cn"", ""label"": ""yk.gov.cn""}"
domain:xxgk.jcgov.gov.cn,domain,Domain,xxgk.jcgov.gov.cn,,,,,xxgk.jcgov.gov.cn,,,,,"{""domain"": ""xxgk.jcgov.gov.cn"", ""label"": ""xxgk.jcgov.gov.cn""}"
domain:shicheng.gov.cn,domain,Domain,shicheng.gov.cn,,,,,shicheng.gov.cn,,,,,"{""domain"": ""shicheng.gov.cn"", ""label"": ""shicheng.gov.cn""}"
domain:dpc.qingdao.gov.cn,domain,Domain,dpc.qingdao.gov.cn,,,,,dpc.qingdao.gov.cn,,,,,"{""domain"": ""dpc.qingdao.gov.cn"", ""label"": ""dpc.qingdao.gov.cn""}"
domain:jncc.jinan.gov.cn,domain,Domain,jncc.jinan.gov.cn,,,,,jncc.jinan.gov.cn,,,,,"{""domain"": ""jncc.jinan.gov.cn"", ""label"": ""jncc.jinan.gov.cn""}"
domain:hd.gov.cn,domain,Domain,hd.gov.cn,,,,,hd.gov.cn,,,,,"{""domain"": ""hd.gov.cn"", ""label"": ""hd.gov.cn""}"
domain:longmen.gov.cn,domain,Domain,longmen.gov.cn,,,,,longmen.gov.cn,,,,,"{""domain"": ""longmen.gov.cn"", ""label"": ""longmen.gov.cn""}"
domain:by.gov.cn,domain,Domain,by.gov.cn,,,,,by.gov.cn,,,,,"{""domain"": ""by.gov.cn"", ""label"": ""by.gov.cn""}"
domain:gzcourt.gov.cn,domain,Domain,gzcourt.gov.cn,,,,,gzcourt.gov.cn,,,,,"{""domain"": ""gzcourt.gov.cn"", ""label"": ""gzcourt.gov.cn""}"
domain:moj.gov.cn,domain,Domain,moj.gov.cn,,,,,moj.gov.cn,,,,,"{""domain"": ""moj.gov.cn"", ""label"": ""moj.gov.cn""}"
domain:court.gov.cn,domain,Domain,court.gov.cn,,,,,court.gov.cn,,,,,"{""domain"": ""court.gov.cn"", ""label"": ""court.gov.cn""}"
domain:zjj.nc.gov.cn,domain,Domain,zjj.nc.gov.cn,,,,,zjj.nc.gov.cn,,,,,"{""domain"": ""zjj.nc.gov.cn"", ""label"": ""zjj.nc.gov.cn""}"
domain:bjwmb.gov.cn,domain,Domain,bjwmb.gov.cn,,,,,bjwmb.gov.cn,,,,,"{""domain"": ""bjwmb.gov.cn"", ""label"": ""bjwmb.gov.cn""}"
domain:zgj.wuhan.gov.cn,domain,Domain,zgj.wuhan.gov.cn,,,,,zgj.wuhan.gov.cn,,,,,"{""domain"": ""zgj.wuhan.gov.cn"", ""label"": ""zgj.wuhan.gov.cn""}"
domain:tl.gov.cn,domain,Domain,tl.gov.cn,,,,,tl.gov.cn,,,,,"{""domain"": ""tl.gov.cn"", ""label"": ""tl.gov.cn""}"
domain:sohu.com,domain,Domain,sohu.com,,,,,sohu.com,,,,,"{""domain"": ""sohu.com"", ""label"": ""sohu.com""}"
domain:news.qq.com,domain,Domain,news.qq.com,,,,,news.qq.com,,,,,"{""domain"": ""news.qq.com"", ""label"": ""news.qq.com""}"
domain:cpc.people.com.cn,domain,Domain,cpc.people.com.cn,,,,,cpc.people.com.cn,,,,,"{""domain"": ""cpc.people.com.cn"", ""label"": ""cpc.people.com.cn""}"
domain:law.cnr.cn,domain,Domain,law.cnr.cn,,,,,law.cnr.cn,,,,,"{""domain"": ""law.cnr.cn"", ""label"": ""law.cnr.cn""}"
domain:china.huanqiu.com,domain,Domain,china.huanqiu.com,,,,,china.huanqiu.com,,,,,"{""domain"": ""china.huanqiu.com"", ""label"": ""china.huanqiu.com""}"
domain:hubpd.com,domain,Domain,hubpd.com,,,,,hubpd.com,,,,,"{""domain"": ""hubpd.com"", ""label"": ""hubpd.com""}"
domain:news.cnnb.com.cn,domain,Domain,news.cnnb.com.cn,,,,,news.cnnb.com.cn,,,,,"{""domain"": ""news.cnnb.com.cn"", ""label"": ""news.cnnb.com.cn""}"
domain:zjw.beijing.gov.cn,domain,Domain,zjw.beijing.gov.cn,,,,,zjw.beijing.gov.cn,,,,,"{""domain"": ""zjw.beijing.gov.cn"", ""label"": ""zjw.beijing.gov.cn""}"
domain:hp.gov.cn,domain,Domain,hp.gov.cn,,,,,hp.gov.cn,,,,,"{""domain"": ""hp.gov.cn"", ""label"": ""hp.gov.cn""}"
domain:sjz.gov.cn,domain,Domain,sjz.gov.cn,,,,,sjz.gov.cn,,,,,"{""domain"": ""sjz.gov.cn"", ""label"": ""sjz.gov.cn""}"
domain:zjj.ningde.gov.cn,domain,Domain,zjj.ningde.gov.cn,,,,,zjj.ningde.gov.cn,,,,,"{""domain"": ""zjj.ningde.gov.cn"", ""label"": ""zjj.ningde.gov.cn""}"
