node_id,node_type,neo4j_label,label,event_id,event_name,evidence_id,source,domain,url,publish_time,quality_score,text,attributes_json
stakeholder:政府部门,stakeholder_candidate,StakeholderCandidate,政府部门,,,,,,,,,,"{""label"": ""政府部门"", ""stakeholder"": ""政府部门""}"
stakeholder:企业/开发商,stakeholder_candidate,StakeholderCandidate,企业/开发商,,,,,,,,,,"{""label"": ""企业/开发商"", ""stakeholder"": ""企业/开发商""}"
stakeholder:专家/律师,stakeholder_candidate,StakeholderCandidate,专家/律师,,,,,,,,,,"{""label"": ""专家/律师"", ""stakeholder"": ""专家/律师""}"
stakeholder:政府,stakeholder_candidate,StakeholderCandidate,政府,,,,,,,,,,"{""label"": ""政府"", ""stakeholder"": ""政府""}"
stakeholder:专家,stakeholder_candidate,StakeholderCandidate,专家,,,,,,,,,,"{""label"": ""专家"", ""stakeholder"": ""专家""}"
stakeholder:居民/公众,stakeholder_candidate,StakeholderCandidate,居民/公众,,,,,,,,,,"{""label"": ""居民/公众"", ""stakeholder"": ""居民/公众""}"
stakeholder:居民,stakeholder_candidate,StakeholderCandidate,居民,,,,,,,,,,"{""label"": ""居民"", ""stakeholder"": ""居民""}"
stakeholder:媒体,stakeholder_candidate,StakeholderCandidate,媒体,,,,,,,,,,"{""label"": ""媒体"", ""stakeholder"": ""媒体""}"
stakeholder:开发企业,stakeholder_candidate,StakeholderCandidate,开发企业,,,,,,,,,,"{""label"": ""开发企业"", ""stakeholder"": ""开发企业""}"
stakeholder:高层住户,stakeholder_candidate,StakeholderCandidate,高层住户,,,,,,,,,,"{""label"": ""高层住户"", ""stakeholder"": ""高层住户""}"
stakeholder:低层住户,stakeholder_candidate,StakeholderCandidate,低层住户,,,,,,,,,,"{""label"": ""低层住户"", ""stakeholder"": ""低层住户""}"
stakeholder:施工单位,stakeholder_candidate,StakeholderCandidate,施工单位,,,,,,,,,,"{""label"": ""施工单位"", ""stakeholder"": ""施工单位""}"
stakeholder:街道办,stakeholder_candidate,StakeholderCandidate,街道办,,,,,,,,,,"{""label"": ""街道办"", ""stakeholder"": ""街道办""}"
stakeholder:社区居委会,stakeholder_candidate,StakeholderCandidate,社区居委会,,,,,,,,,,"{""label"": ""社区居委会"", ""stakeholder"": ""社区居委会""}"
stakeholder:住建部门,stakeholder_candidate,StakeholderCandidate,住建部门,,,,,,,,,,"{""label"": ""住建部门"", ""stakeholder"": ""住建部门""}"
stakeholder:低收入群体,stakeholder_candidate,StakeholderCandidate,低收入群体,,,,,,,,,,"{""label"": ""低收入群体"", ""stakeholder"": ""低收入群体""}"
stakeholder:村集体,stakeholder_candidate,StakeholderCandidate,村集体,,,,,,,,,,"{""label"": ""村集体"", ""stakeholder"": ""村集体""}"
stakeholder:租户,stakeholder_candidate,StakeholderCandidate,租户,,,,,,,,,,"{""label"": ""租户"", ""stakeholder"": ""租户""}"
stakeholder:房东,stakeholder_candidate,StakeholderCandidate,房东,,,,,,,,,,"{""label"": ""房东"", ""stakeholder"": ""房东""}"
stakeholder:业主,stakeholder_candidate,StakeholderCandidate,业主,,,,,,,,,,"{""label"": ""业主"", ""stakeholder"": ""业主""}"
stakeholder:物业公司,stakeholder_candidate,StakeholderCandidate,物业公司,,,,,,,,,,"{""label"": ""物业公司"", ""stakeholder"": ""物业公司""}"
stakeholder:社区,stakeholder_candidate,StakeholderCandidate,社区,,,,,,,,,,"{""label"": ""社区"", ""stakeholder"": ""社区""}"
stakeholder:业委会,stakeholder_candidate,StakeholderCandidate,业委会,,,,,,,,,,"{""label"": ""业委会"", ""stakeholder"": ""业委会""}"
stakeholder:回迁居民,stakeholder_candidate,StakeholderCandidate,回迁居民,,,,,,,,,,"{""label"": ""回迁居民"", ""stakeholder"": ""回迁居民""}"
stakeholder:车主,stakeholder_candidate,StakeholderCandidate,车主,,,,,,,,,,"{""label"": ""车主"", ""stakeholder"": ""车主""}"
stakeholder:规划部门,stakeholder_candidate,StakeholderCandidate,规划部门,,,,,,,,,,"{""label"": ""规划部门"", ""stakeholder"": ""规划部门""}"
stakeholder:游客,stakeholder_candidate,StakeholderCandidate,游客,,,,,,,,,,"{""label"": ""游客"", ""stakeholder"": ""游客""}"
stakeholder:原住民,stakeholder_candidate,StakeholderCandidate,原住民,,,,,,,,,,"{""label"": ""原住民"", ""stakeholder"": ""原住民""}"
stakeholder:购房者,stakeholder_candidate,StakeholderCandidate,购房者,,,,,,,,,,"{""label"": ""购房者"", ""stakeholder"": ""购房者""}"
stakeholder:学生家长,stakeholder_candidate,StakeholderCandidate,学生家长,,,,,,,,,,"{""label"": ""学生家长"", ""stakeholder"": ""学生家长""}"
stakeholder:学校,stakeholder_candidate,StakeholderCandidate,学校,,,,,,,,,,"{""label"": ""学校"", ""stakeholder"": ""学校""}"
stakeholder:教师,stakeholder_candidate,StakeholderCandidate,教师,,,,,,,,,,"{""label"": ""教师"", ""stakeholder"": ""教师""}"
stakeholder:教育局,stakeholder_candidate,StakeholderCandidate,教育局,,,,,,,,,,"{""label"": ""教育局"", ""stakeholder"": ""教育局""}"
stakeholder:学生,stakeholder_candidate,StakeholderCandidate,学生,,,,,,,,,,"{""label"": ""学生"", ""stakeholder"": ""学生""}"
stakeholder:家长,stakeholder_candidate,StakeholderCandidate,家长,,,,,,,,,,"{""label"": ""家长"", ""stakeholder"": ""家长""}"
stakeholder:市场监管部门,stakeholder_candidate,StakeholderCandidate,市场监管部门,,,,,,,,,,"{""label"": ""市场监管部门"", ""stakeholder"": ""市场监管部门""}"
stakeholder:培训机构,stakeholder_candidate,StakeholderCandidate,培训机构,,,,,,,,,,"{""label"": ""培训机构"", ""stakeholder"": ""培训机构""}"
stakeholder:教育部门,stakeholder_candidate,StakeholderCandidate,教育部门,,,,,,,,,,"{""label"": ""教育部门"", ""stakeholder"": ""教育部门""}"
stakeholder:社区居民,stakeholder_candidate,StakeholderCandidate,社区居民,,,,,,,,,,"{""label"": ""社区居民"", ""stakeholder"": ""社区居民""}"
stakeholder:体育教师,stakeholder_candidate,StakeholderCandidate,体育教师,,,,,,,,,,"{""label"": ""体育教师"", ""stakeholder"": ""体育教师""}"
stakeholder:幼儿家长,stakeholder_candidate,StakeholderCandidate,幼儿家长,,,,,,,,,,"{""label"": ""幼儿家长"", ""stakeholder"": ""幼儿家长""}"
stakeholder:幼儿园,stakeholder_candidate,StakeholderCandidate,幼儿园,,,,,,,,,,"{""label"": ""幼儿园"", ""stakeholder"": ""幼儿园""}"
stakeholder:涉事学生,stakeholder_candidate,StakeholderCandidate,涉事学生,,,,,,,,,,"{""label"": ""涉事学生"", ""stakeholder"": ""涉事学生""}"
stakeholder:受害学生,stakeholder_candidate,StakeholderCandidate,受害学生,,,,,,,,,,"{""label"": ""受害学生"", ""stakeholder"": ""受害学生""}"
stakeholder:校方,stakeholder_candidate,StakeholderCandidate,校方,,,,,,,,,,"{""label"": ""校方"", ""stakeholder"": ""校方""}"
stakeholder:学校后勤,stakeholder_candidate,StakeholderCandidate,学校后勤,,,,,,,,,,"{""label"": ""学校后勤"", ""stakeholder"": ""学校后勤""}"
stakeholder:心理教师,stakeholder_candidate,StakeholderCandidate,心理教师,,,,,,,,,,"{""label"": ""心理教师"", ""stakeholder"": ""心理教师""}"
stakeholder:患者,stakeholder_candidate,StakeholderCandidate,患者,,,,,,,,,,"{""label"": ""患者"", ""stakeholder"": ""患者""}"
stakeholder:医院,stakeholder_candidate,StakeholderCandidate,医院,,,,,,,,,,"{""label"": ""医院"", ""stakeholder"": ""医院""}"
stakeholder:医生,stakeholder_candidate,StakeholderCandidate,医生,,,,,,,,,,"{""label"": ""医生"", ""stakeholder"": ""医生""}"
stakeholder:参保人,stakeholder_candidate,StakeholderCandidate,参保人,,,,,,,,,,"{""label"": ""参保人"", ""stakeholder"": ""参保人""}"
stakeholder:医保局,stakeholder_candidate,StakeholderCandidate,医保局,,,,,,,,,,"{""label"": ""医保局"", ""stakeholder"": ""医保局""}"
stakeholder:药品配送企业,stakeholder_candidate,StakeholderCandidate,药品配送企业,,,,,,,,,,"{""label"": ""药品配送企业"", ""stakeholder"": ""药品配送企业""}"
stakeholder:社区卫生服务中心,stakeholder_candidate,StakeholderCandidate,社区卫生服务中心,,,,,,,,,,"{""label"": ""社区卫生服务中心"", ""stakeholder"": ""社区卫生服务中心""}"
stakeholder:慢病患者,stakeholder_candidate,StakeholderCandidate,慢病患者,,,,,,,,,,"{""label"": ""慢病患者"", ""stakeholder"": ""慢病患者""}"
stakeholder:卫健部门,stakeholder_candidate,StakeholderCandidate,卫健部门,,,,,,,,,,"{""label"": ""卫健部门"", ""stakeholder"": ""卫健部门""}"
stakeholder:养老机构,stakeholder_candidate,StakeholderCandidate,养老机构,,,,,,,,,,"{""label"": ""养老机构"", ""stakeholder"": ""养老机构""}"
stakeholder:老人,stakeholder_candidate,StakeholderCandidate,老人,,,,,,,,,,"{""label"": ""老人"", ""stakeholder"": ""老人""}"
stakeholder:民政部门,stakeholder_candidate,StakeholderCandidate,民政部门,,,,,,,,,,"{""label"": ""民政部门"", ""stakeholder"": ""民政部门""}"
stakeholder:家属,stakeholder_candidate,StakeholderCandidate,家属,,,,,,,,,,"{""label"": ""家属"", ""stakeholder"": ""家属""}"
stakeholder:护理人员,stakeholder_candidate,StakeholderCandidate,护理人员,,,,,,,,,,"{""label"": ""护理人员"", ""stakeholder"": ""护理人员""}"
stakeholder:互联网医院,stakeholder_candidate,StakeholderCandidate,互联网医院,,,,,,,,,,"{""label"": ""互联网医院"", ""stakeholder"": ""互联网医院""}"
stakeholder:药店,stakeholder_candidate,StakeholderCandidate,药店,,,,,,,,,,"{""label"": ""药店"", ""stakeholder"": ""药店""}"
stakeholder:监管部门,stakeholder_candidate,StakeholderCandidate,监管部门,,,,,,,,,,"{""label"": ""监管部门"", ""stakeholder"": ""监管部门""}"
stakeholder:医保部门,stakeholder_candidate,StakeholderCandidate,医保部门,,,,,,,,,,"{""label"": ""医保部门"", ""stakeholder"": ""医保部门""}"
stakeholder:疾控中心,stakeholder_candidate,StakeholderCandidate,疾控中心,,,,,,,,,,"{""label"": ""疾控中心"", ""stakeholder"": ""疾控中心""}"
