source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00003,domain:gzzs.gov.cn,from_domain,1.0,ev-00003,"{""evidence_id"": ""ev-00003""}"
evidence:ev-00026,domain:ww.gov.cn,from_domain,1.0,ev-00026,"{""evidence_id"": ""ev-00026""}"
evidence:ev-00028,domain:jiangshan.gov.cn,from_domain,1.0,ev-00028,"{""evidence_id"": ""ev-00028""}"
evidence:ev-00034,domain:gz.gov.cn,from_domain,1.0,ev-00034,"{""evidence_id"": ""ev-00034""}"
evidence:ev-00038,domain:jinshishi.gov.cn,from_domain,1.0,ev-00038,"{""evidence_id"": ""ev-00038""}"
evidence:ev-00046,domain:xinshao.gov.cn,from_domain,1.0,ev-00046,"{""evidence_id"": ""ev-00046""}"
evidence:ev-00049,domain:yishui.gov.cn,from_domain,1.0,ev-00049,"{""evidence_id"": ""ev-00049""}"
evidence:ev-02501,domain:laiyang.gov.cn,from_domain,1.0,ev-02501,"{""evidence_id"": ""ev-02501""}"
evidence:ev-02504,domain:nantong.gov.cn,from_domain,1.0,ev-02504,"{""evidence_id"": ""ev-02504""}"
evidence:ev-00029,domain:liuyan.people.com.cn,from_domain,1.0,ev-00029,"{""evidence_id"": ""ev-00029""}"
evidence:ev-02491,domain:ytfushan.gov.cn,from_domain,1.0,ev-02491,"{""evidence_id"": ""ev-02491""}"
evidence:ev-02488,domain:ctdsbepaper.hubeidaily.net,from_domain,1.0,ev-02488,"{""evidence_id"": ""ev-02488""}"
evidence:ev-02490,domain:sz.oeeee.com,from_domain,1.0,ev-02490,"{""evidence_id"": ""ev-02490""}"
evidence:ev-02506,domain:sdxw.iqilu.com,from_domain,1.0,ev-02506,"{""evidence_id"": ""ev-02506""}"
evidence:ev-00013,domain:163.com,from_domain,1.0,ev-00013,"{""evidence_id"": ""ev-00013""}"
evidence:ev-00017,domain:c.m.163.com,from_domain,1.0,ev-00017,"{""evidence_id"": ""ev-00017""}"
evidence:ev-00033,domain:c.m.163.com,from_domain,1.0,ev-00033,"{""evidence_id"": ""ev-00033""}"
evidence:ev-00014,domain:36kr.com,from_domain,1.0,ev-00014,"{""evidence_id"": ""ev-00014""}"
evidence:ev-00043,domain:m.zaiminglaw.com,from_domain,1.0,ev-00043,"{""evidence_id"": ""ev-00043""}"
evidence:ev-00047,domain:mip.64365.com,from_domain,1.0,ev-00047,"{""evidence_id"": ""ev-00047""}"
evidence:ev-00048,domain:flkpz.com,from_domain,1.0,ev-00048,"{""evidence_id"": ""ev-00048""}"
evidence:ev-02505,domain:163.com,from_domain,1.0,ev-02505,"{""evidence_id"": ""ev-02505""}"
evidence:ev-00024,domain:yk.gov.cn,from_domain,1.0,ev-00024,"{""evidence_id"": ""ev-00024""}"
evidence:ev-00025,domain:xxgk.jcgov.gov.cn,from_domain,1.0,ev-00025,"{""evidence_id"": ""ev-00025""}"
evidence:ev-00027,domain:shicheng.gov.cn,from_domain,1.0,ev-00027,"{""evidence_id"": ""ev-00027""}"
evidence:ev-00030,domain:dpc.qingdao.gov.cn,from_domain,1.0,ev-00030,"{""evidence_id"": ""ev-00030""}"
evidence:ev-02485,domain:jncc.jinan.gov.cn,from_domain,1.0,ev-02485,"{""evidence_id"": ""ev-02485""}"
evidence:ev-02487,domain:hd.gov.cn,from_domain,1.0,ev-02487,"{""evidence_id"": ""ev-02487""}"
evidence:ev-02493,domain:longmen.gov.cn,from_domain,1.0,ev-02493,"{""evidence_id"": ""ev-02493""}"
evidence:ev-02494,domain:by.gov.cn,from_domain,1.0,ev-02494,"{""evidence_id"": ""ev-02494""}"
evidence:ev-00062,domain:gzcourt.gov.cn,from_domain,1.0,ev-00062,"{""evidence_id"": ""ev-00062""}"
evidence:ev-00071,domain:moj.gov.cn,from_domain,1.0,ev-00071,"{""evidence_id"": ""ev-00071""}"
evidence:ev-00072,domain:court.gov.cn,from_domain,1.0,ev-00072,"{""evidence_id"": ""ev-00072""}"
evidence:ev-00079,domain:zjj.nc.gov.cn,from_domain,1.0,ev-00079,"{""evidence_id"": ""ev-00079""}"
evidence:ev-00083,domain:bjwmb.gov.cn,from_domain,1.0,ev-00083,"{""evidence_id"": ""ev-00083""}"
evidence:ev-00086,domain:zgj.wuhan.gov.cn,from_domain,1.0,ev-00086,"{""evidence_id"": ""ev-00086""}"
evidence:ev-00098,domain:tl.gov.cn,from_domain,1.0,ev-00098,"{""evidence_id"": ""ev-00098""}"
evidence:ev-00066,domain:gzcourt.gov.cn,from_domain,1.0,ev-00066,"{""evidence_id"": ""ev-00066""}"
evidence:ev-00067,domain:court.gov.cn,from_domain,1.0,ev-00067,"{""evidence_id"": ""ev-00067""}"
evidence:ev-00053,domain:sohu.com,from_domain,1.0,ev-00053,"{""evidence_id"": ""ev-00053""}"
evidence:ev-00061,domain:news.qq.com,from_domain,1.0,ev-00061,"{""evidence_id"": ""ev-00061""}"
evidence:ev-00065,domain:news.qq.com,from_domain,1.0,ev-00065,"{""evidence_id"": ""ev-00065""}"
evidence:ev-00069,domain:news.qq.com,from_domain,1.0,ev-00069,"{""evidence_id"": ""ev-00069""}"
evidence:ev-00081,domain:cpc.people.com.cn,from_domain,1.0,ev-00081,"{""evidence_id"": ""ev-00081""}"
evidence:ev-00058,domain:law.cnr.cn,from_domain,1.0,ev-00058,"{""evidence_id"": ""ev-00058""}"
evidence:ev-00059,domain:china.huanqiu.com,from_domain,1.0,ev-00059,"{""evidence_id"": ""ev-00059""}"
evidence:ev-00084,domain:hubpd.com,from_domain,1.0,ev-00084,"{""evidence_id"": ""ev-00084""}"
evidence:ev-00089,domain:news.cnnb.com.cn,from_domain,1.0,ev-00089,"{""evidence_id"": ""ev-00089""}"
evidence:ev-00070,domain:zjw.beijing.gov.cn,from_domain,1.0,ev-00070,"{""evidence_id"": ""ev-00070""}"
evidence:ev-00073,domain:hp.gov.cn,from_domain,1.0,ev-00073,"{""evidence_id"": ""ev-00073""}"
evidence:ev-00075,domain:zjw.beijing.gov.cn,from_domain,1.0,ev-00075,"{""evidence_id"": ""ev-00075""}"
evidence:ev-00077,domain:sjz.gov.cn,from_domain,1.0,ev-00077,"{""evidence_id"": ""ev-00077""}"
evidence:ev-00078,domain:tl.gov.cn,from_domain,1.0,ev-00078,"{""evidence_id"": ""ev-00078""}"
evidence:ev-00055,domain:zjj.ningde.gov.cn,from_domain,1.0,ev-00055,"{""evidence_id"": ""ev-00055""}"
evidence:ev-00097,domain:news.hubeidaily.net,from_domain,1.0,ev-00097,"{""evidence_id"": ""ev-00097""}"
evidence:ev-00054,domain:shfzb.com.cn,from_domain,1.0,ev-00054,"{""evidence_id"": ""ev-00054""}"
evidence:ev-00056,domain:diantizixun.cn,from_domain,1.0,ev-00056,"{""evidence_id"": ""ev-00056""}"
evidence:ev-00060,domain:3g.china.com,from_domain,1.0,ev-00060,"{""evidence_id"": ""ev-00060""}"
