source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-00003,source:official,from_source,1.0,ev-00003,"{""evidence_id"": ""ev-00003""}"
evidence:ev-00026,source:official,from_source,1.0,ev-00026,"{""evidence_id"": ""ev-00026""}"
evidence:ev-00028,source:official,from_source,1.0,ev-00028,"{""evidence_id"": ""ev-00028""}"
evidence:ev-00034,source:official,from_source,1.0,ev-00034,"{""evidence_id"": ""ev-00034""}"
evidence:ev-00038,source:official,from_source,1.0,ev-00038,"{""evidence_id"": ""ev-00038""}"
evidence:ev-00046,source:official,from_source,1.0,ev-00046,"{""evidence_id"": ""ev-00046""}"
evidence:ev-00049,source:official,from_source,1.0,ev-00049,"{""evidence_id"": ""ev-00049""}"
evidence:ev-02501,source:official,from_source,1.0,ev-02501,"{""evidence_id"": ""ev-02501""}"
evidence:ev-02504,source:official,from_source,1.0,ev-02504,"{""evidence_id"": ""ev-02504""}"
evidence:ev-00029,source:public_interaction,from_source,1.0,ev-00029,"{""evidence_id"": ""ev-00029""}"
evidence:ev-02491,source:public_interaction,from_source,1.0,ev-02491,"{""evidence_id"": ""ev-02491""}"
evidence:ev-02488,source:public_social,from_source,1.0,ev-02488,"{""evidence_id"": ""ev-02488""}"
evidence:ev-02490,source:public_social,from_source,1.0,ev-02490,"{""evidence_id"": ""ev-02490""}"
evidence:ev-02506,source:public_social,from_source,1.0,ev-02506,"{""evidence_id"": ""ev-02506""}"
evidence:ev-00013,source:news,from_source,1.0,ev-00013,"{""evidence_id"": ""ev-00013""}"
evidence:ev-00017,source:news,from_source,1.0,ev-00017,"{""evidence_id"": ""ev-00017""}"
evidence:ev-00033,source:news,from_source,1.0,ev-00033,"{""evidence_id"": ""ev-00033""}"
evidence:ev-00014,source:public_web,from_source,1.0,ev-00014,"{""evidence_id"": ""ev-00014""}"
evidence:ev-00043,source:public_web,from_source,1.0,ev-00043,"{""evidence_id"": ""ev-00043""}"
evidence:ev-00047,source:public_web,from_source,1.0,ev-00047,"{""evidence_id"": ""ev-00047""}"
evidence:ev-00048,source:public_web,from_source,1.0,ev-00048,"{""evidence_id"": ""ev-00048""}"
evidence:ev-02505,source:public_social,from_source,1.0,ev-02505,"{""evidence_id"": ""ev-02505""}"
evidence:ev-00024,source:official,from_source,1.0,ev-00024,"{""evidence_id"": ""ev-00024""}"
evidence:ev-00025,source:official,from_source,1.0,ev-00025,"{""evidence_id"": ""ev-00025""}"
evidence:ev-00027,source:official,from_source,1.0,ev-00027,"{""evidence_id"": ""ev-00027""}"
evidence:ev-00030,source:official,from_source,1.0,ev-00030,"{""evidence_id"": ""ev-00030""}"
evidence:ev-02485,source:official,from_source,1.0,ev-02485,"{""evidence_id"": ""ev-02485""}"
evidence:ev-02487,source:official,from_source,1.0,ev-02487,"{""evidence_id"": ""ev-02487""}"
evidence:ev-02493,source:official,from_source,1.0,ev-02493,"{""evidence_id"": ""ev-02493""}"
evidence:ev-02494,source:official,from_source,1.0,ev-02494,"{""evidence_id"": ""ev-02494""}"
evidence:ev-00062,source:official,from_source,1.0,ev-00062,"{""evidence_id"": ""ev-00062""}"
evidence:ev-00071,source:official,from_source,1.0,ev-00071,"{""evidence_id"": ""ev-00071""}"
evidence:ev-00072,source:official,from_source,1.0,ev-00072,"{""evidence_id"": ""ev-00072""}"
evidence:ev-00079,source:official,from_source,1.0,ev-00079,"{""evidence_id"": ""ev-00079""}"
evidence:ev-00083,source:official,from_source,1.0,ev-00083,"{""evidence_id"": ""ev-00083""}"
evidence:ev-00086,source:official,from_source,1.0,ev-00086,"{""evidence_id"": ""ev-00086""}"
evidence:ev-00098,source:official,from_source,1.0,ev-00098,"{""evidence_id"": ""ev-00098""}"
evidence:ev-00066,source:public_interaction,from_source,1.0,ev-00066,"{""evidence_id"": ""ev-00066""}"
evidence:ev-00067,source:public_interaction,from_source,1.0,ev-00067,"{""evidence_id"": ""ev-00067""}"
evidence:ev-00053,source:news,from_source,1.0,ev-00053,"{""evidence_id"": ""ev-00053""}"
evidence:ev-00061,source:news,from_source,1.0,ev-00061,"{""evidence_id"": ""ev-00061""}"
evidence:ev-00065,source:news,from_source,1.0,ev-00065,"{""evidence_id"": ""ev-00065""}"
evidence:ev-00069,source:news,from_source,1.0,ev-00069,"{""evidence_id"": ""ev-00069""}"
evidence:ev-00081,source:news,from_source,1.0,ev-00081,"{""evidence_id"": ""ev-00081""}"
evidence:ev-00058,source:public_web,from_source,1.0,ev-00058,"{""evidence_id"": ""ev-00058""}"
evidence:ev-00059,source:public_web,from_source,1.0,ev-00059,"{""evidence_id"": ""ev-00059""}"
evidence:ev-00084,source:public_web,from_source,1.0,ev-00084,"{""evidence_id"": ""ev-00084""}"
evidence:ev-00089,source:public_web,from_source,1.0,ev-00089,"{""evidence_id"": ""ev-00089""}"
evidence:ev-00070,source:official,from_source,1.0,ev-00070,"{""evidence_id"": ""ev-00070""}"
evidence:ev-00073,source:official,from_source,1.0,ev-00073,"{""evidence_id"": ""ev-00073""}"
evidence:ev-00075,source:official,from_source,1.0,ev-00075,"{""evidence_id"": ""ev-00075""}"
evidence:ev-00077,source:official,from_source,1.0,ev-00077,"{""evidence_id"": ""ev-00077""}"
evidence:ev-00078,source:official,from_source,1.0,ev-00078,"{""evidence_id"": ""ev-00078""}"
evidence:ev-00055,source:public_interaction,from_source,1.0,ev-00055,"{""evidence_id"": ""ev-00055""}"
evidence:ev-00097,source:public_social,from_source,1.0,ev-00097,"{""evidence_id"": ""ev-00097""}"
evidence:ev-00054,source:public_web,from_source,1.0,ev-00054,"{""evidence_id"": ""ev-00054""}"
evidence:ev-00056,source:public_web,from_source,1.0,ev-00056,"{""evidence_id"": ""ev-00056""}"
evidence:ev-00060,source:public_web,from_source,1.0,ev-00060,"{""evidence_id"": ""ev-00060""}"
evidence:ev-00064,source:public_web,from_source,1.0,ev-00064,"{""evidence_id"": ""ev-00064""}"
evidence:ev-00082,source:public_web,from_source,1.0,ev-00082,"{""evidence_id"": ""ev-00082""}"
evidence:ev-00111,source:official,from_source,1.0,ev-00111,"{""evidence_id"": ""ev-00111""}"
evidence:ev-00118,source:official,from_source,1.0,ev-00118,"{""evidence_id"": ""ev-00118""}"
evidence:ev-00122,source:official,from_source,1.0,ev-00122,"{""evidence_id"": ""ev-00122""}"
evidence:ev-00124,source:official,from_source,1.0,ev-00124,"{""evidence_id"": ""ev-00124""}"
evidence:ev-00129,source:official,from_source,1.0,ev-00129,"{""evidence_id"": ""ev-00129""}"
evidence:ev-00130,source:official,from_source,1.0,ev-00130,"{""evidence_id"": ""ev-00130""}"
evidence:ev-00144,source:official,from_source,1.0,ev-00144,"{""evidence_id"": ""ev-00144""}"
evidence:ev-02512,source:official,from_source,1.0,ev-02512,"{""evidence_id"": ""ev-02512""}"
evidence:ev-02513,source:official,from_source,1.0,ev-02513,"{""evidence_id"": ""ev-02513""}"
evidence:ev-02517,source:official,from_source,1.0,ev-02517,"{""evidence_id"": ""ev-02517""}"
evidence:ev-02520,source:official,from_source,1.0,ev-02520,"{""evidence_id"": ""ev-02520""}"
evidence:ev-02521,source:official,from_source,1.0,ev-02521,"{""evidence_id"": ""ev-02521""}"
evidence:ev-02518,source:public_interaction,from_source,1.0,ev-02518,"{""evidence_id"": ""ev-02518""}"
evidence:ev-02519,source:public_interaction,from_source,1.0,ev-02519,"{""evidence_id"": ""ev-02519""}"
