domain,count,classified_source,original_sources,classification_reason
m.66law.cn,53,public_web,"{""news"": 47, ""public_social"": 2, ""forum"": 4}",default public web
m.thepaper.cn,51,news,"{""news"": 33, ""public_social"": 3, ""forum"": 4, ""public_interaction"": 10, ""official"": 1}",news domain
m.sohu.com,51,news,"{""news"": 41, ""public_social"": 1, ""forum"": 4, ""public_interaction"": 4, ""official"": 1}",news domain
findlaw.cn,48,public_web,"{""news"": 40, ""public_social"": 6, ""public_interaction"": 2}",default public web
wap.findlaw.cn,47,public_web,"{""news"": 43, ""public_social"": 4}",default public web
3g.china.com,45,public_web,"{""news"": 36, ""public_social"": 2, ""forum"": 4, ""official"": 2, ""public_interaction"": 1}",default public web
liuyan.people.com.cn,41,public_interaction,"{""news"": 31, ""public_interaction"": 5, ""forum"": 5}",public interaction domain or text hint
news.qq.com,38,news,"{""news"": 32, ""public_social"": 1, ""official"": 1, ""forum"": 2, ""public_interaction"": 2}",news domain
c.m.163.com,34,news,"{""news"": 21, ""public_interaction"": 8, ""forum"": 4, ""official"": 1}",news domain
m.gmw.cn,31,news,"{""news"": 22, ""public_social"": 1, ""forum"": 3, ""public_interaction"": 4, ""official"": 1}",news domain
moe.gov.cn,25,official,"{""news"": 16, ""public_social"": 2, ""public_interaction"": 7}",government domain or official platform hint
view.inews.qq.com,24,public_web,"{""news"": 14, ""public_social"": 2, ""forum"": 4, ""public_interaction"": 3, ""official"": 1}",default public web
sohu.com,23,news,"{""news"": 16, ""public_social"": 1, ""official"": 1, ""public_interaction"": 4, ""forum"": 1}",news domain
163.com,22,news,"{""news"": 15, ""public_social"": 1, ""forum"": 2, ""public_interaction"": 4}",news domain
lawtime.cn,21,public_web,"{""news"": 17, ""public_social"": 4}",default public web
news.cctv.com,21,public_web,"{""news"": 14, ""forum"": 3, ""public_interaction"": 4}",default public web
m.book118.com,20,public_web,"{""news"": 18, ""public_social"": 2}",default public web
m.voc.com.cn,19,public_web,"{""news"": 13, ""public_social"": 1, ""public_interaction"": 4, ""forum"": 1}",default public web
news.china.com,17,public_web,"{""news"": 13, ""public_social"": 1, ""public_interaction"": 2, ""forum"": 1}",default public web
m.fang.com,17,public_web,"{""news"": 14, ""public_social"": 1, ""forum"": 2}",default public web
k.sina.cn,17,public_web,"{""news"": 16, ""forum"": 1}",default public web
m.163.com,17,news,"{""news"": 8, ""public_social"": 2, ""public_interaction"": 5, ""official"": 1, ""forum"": 1}",news domain
wz.rednet.cn,16,public_web,"{""news"": 12, ""public_interaction"": 3, ""forum"": 1}",default public web
paper.people.com.cn,14,news,"{""news"": 10, ""public_social"": 1, ""public_interaction"": 3}",news domain
cbgc.scol.com.cn,14,public_web,"{""news"": 10, ""forum"": 2, ""public_interaction"": 2}",default public web
m.64365.com,13,public_web,"{""news"": 13}",default public web
gov.cn,13,official,"{""public_social"": 2, ""news"": 8, ""public_interaction"": 2, ""forum"": 1}",government domain or official platform hint
thepaper.cn,13,news,"{""public_social"": 1, ""news"": 7, ""public_interaction"": 2, ""official"": 1, ""forum"": 2}",news domain
m.chinanews.com,13,news,"{""news"": 8, ""public_social"": 1, ""public_interaction"": 4}",news domain
people.rednet.cn,12,public_web,"{""news"": 6, ""public_interaction"": 5, ""forum"": 1}",default public web
cj.sina.cn,12,public_social,"{""public_social"": 7, ""news"": 4, ""public_interaction"": 1}",public social web clue
news.hubeidaily.net,11,public_social,"{""public_social"": 5, ""news"": 6}",public social web clue
news.cnr.cn,10,public_web,"{""news"": 7, ""public_social"": 1, ""public_interaction"": 2}",default public web
news.sina.cn,10,public_web,"{""news"": 10}",default public web
news.cctv.cn,10,public_web,"{""news"": 9, ""public_interaction"": 1}",default public web
m.baike.com,10,public_web,"{""news"": 6, ""public_social"": 1, ""forum"": 1, ""public_interaction"": 2}",default public web
cj.sina.com.cn,10,public_web,"{""news"": 7, ""public_social"": 1, ""forum"": 1, ""public_interaction"": 1}",default public web
xinhuanet.com,10,news,"{""news"": 7, ""public_interaction"": 3}",news domain
m.lawtime.cn,9,public_web,"{""news"": 9}",default public web
jfdaily.com.cn,9,public_web,"{""news"": 9}",default public web
cgzf.sh.gov.cn,9,official,"{""public_social"": 3, ""news"": 2, ""forum"": 2, ""public_interaction"": 2}",government domain or official platform hint
wz.sun0769.com,9,public_interaction,"{""news"": 7, ""public_interaction"": 2}",public interaction domain or text hint
beijing.gov.cn,9,official,"{""public_social"": 1, ""news"": 6, ""public_interaction"": 1, ""forum"": 1}",government domain or official platform hint
