metric,threshold,Tuple-F1,Precision,Recall,Sentiment-Acc,Stakeholder-Recall
exact,,0.0,0.0,0.0,0.0,0.2606
char_jaccard,0.3,0.4702,0.6907,0.3564,0.7015,0.3511
char_jaccard,0.4,0.4281,0.6289,0.3245,0.6885,0.3351
char_jaccard,0.5,0.386,0.567,0.2926,0.7091,0.3191
char_jaccard,0.6,0.2877,0.4227,0.2181,0.7073,0.2926
char_jaccard,0.7,0.1193,0.1753,0.0904,0.7059,0.2766
char_ngram,0.3,0.421,0.6186,0.3191,0.7,0.3138
char_ngram,0.4,0.3789,0.5567,0.2872,0.7037,0.2926
char_ngram,0.5,0.3579,0.5258,0.2713,0.6863,0.2872
char_ngram,0.6,0.1614,0.2371,0.1223,0.7391,0.2713
char_ngram,0.7,0.0281,0.0412,0.0213,0.5,0.266
